afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60008658,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,13,7,4,18,21,3,0,deu,yes
60008734,0,0,0,0,0,0,6,1,3,0,7,3,4,1,2,12,7,19,20,14,22,13,nld,yes
60008750,0,0,0,0,0,1,2,0,0,2,1,3,2,2,16,2,0,2,3,3,17,10,gbr,yes
60008800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fra,yes
60008877,0,0,2,1,0,0,1,0,4,0,0,0,2,11,6,15,8,9,10,1,11,23,gbr,yes
60008888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60008905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60008936,0,0,0,0,0,0,0,10,0,0,3,0,3,0,5,6,6,3,9,7,2,29,gbr,yes
60008988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,14,0,gbr,yes
60009016,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,11,0,gbr,yes
60009113,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,13,0,0,9,0,deu,yes
60009171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,gbr,yes
60009308,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,3,3,7,1,3,deu,yes
60009357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,fra,yes
60009383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60009445,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,fra,yes
