per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2007,2007,60000000,usa,7,0,0,1996,2007,usa,1,1,1,1996,60000000,NA,0,NA,NA,NA,60000000
1996,2006,2006,60000009,usa,13,0,0,1996,2006,NA,NA,NA,NA,NA,60000009,NA,0,NA,NA,NA,60000009
1996,2006,2006,60000060,usa,43,6,0.14,1996,2006,NA,NA,NA,NA,NA,60000060,NA,0,NA,NA,NA,60000060
1996,2011,2011,60000076,usa,27,4,0.148,1996,2011,NA,NA,NA,NA,NA,60000076,NA,0,NA,NA,NA,60000076
1996,2012,2012,60000144,usa,12,0,0,1996,2012,NA,NA,NA,NA,NA,60000144,NA,0,NA,NA,NA,60000144
1996,2014,2014,60000164,usa,5,0,0,1996,2014,NA,NA,NA,NA,NA,60000164,NA,0,NA,NA,NA,60000164
1996,2003,2003,60000209,usa,20,4,0.2,1996,2003,NA,NA,NA,NA,NA,60000209,NA,0,NA,NA,NA,60000209
1996,2004,2004,60000221,usa,44,10,0.227,1996,2004,NA,NA,NA,NA,NA,60000221,NA,0,NA,NA,NA,60000221
1996,2010,2010,60000238,usa,12,7,0.583,1996,2010,NA,NA,NA,NA,NA,60000238,NA,0,NA,NA,NA,60000238
1996,2015,2015,60000247,usa,3,0,0,1996,2015,NA,NA,NA,NA,NA,60000247,NA,0,NA,NA,NA,60000247
1996,2008,2008,60000251,can,5,5,1,1996,2008,NA,NA,NA,NA,NA,60000251,NA,0,NA,NA,NA,60000251
1996,2000,2000,60000305,usa,105,36,0.343,1996,2000,NA,NA,NA,NA,NA,60000305,NA,0,NA,NA,NA,60000305
1996,2014,2014,60000423,usa,2,0,0,1996,2014,NA,NA,NA,NA,NA,60000423,NA,0,NA,NA,NA,60000423
1996,1997,1997,60000460,usa,53,21,0.396,1996,1997,usa,1,2,1,1996,60000460,NA,0,NA,NA,NA,60000460
1996,2012,2012,60000473,usa,7,0,0,1996,2012,NA,NA,NA,NA,NA,60000473,NA,0,NA,NA,NA,60000473
1996,2005,2005,60000521,can,15,6,0.4,1996,2005,NA,NA,NA,NA,NA,60000521,NA,0,NA,NA,NA,60000521
1996,2001,2001,60000673,can,15,4,0.267,1996,2001,NA,NA,NA,NA,NA,60000673,NA,0,NA,NA,NA,60000673
1996,2009,2009,60000689,usa,14,2,0.143,1996,2009,NA,NA,NA,NA,NA,60000689,NA,0,NA,NA,NA,60000689
1996,2017,2017,60000705,usa,7,0,0,1996,2017,NA,NA,NA,NA,NA,60000705,NA,0,NA,NA,NA,60000705
1996,2005,2005,60000745,usa,43,14,0.326,1996,2005,NA,NA,NA,NA,NA,60000745,NA,0,NA,NA,NA,60000745
1996,2016,2016,60000871,usa,4,0,0,1996,2016,usa,1,3,1,1996,60000871,NA,0,NA,NA,NA,60000871
1996,2000,2000,60000879,usa,15,2,0.133,1996,2000,NA,NA,NA,NA,NA,60000879,NA,0,NA,NA,NA,60000879
1996,2014,2014,60000885,usa,1,0,0,1996,2014,NA,NA,NA,NA,NA,60000885,NA,0,NA,NA,NA,60000885
1996,2000,2000,60000928,usa,91,33,0.363,1996,2000,NA,NA,NA,NA,NA,60000928,NA,0,NA,NA,NA,60000928
1996,2002,2002,60000945,usa,18,4,0.222,1996,2002,NA,NA,NA,NA,NA,60000945,NA,0,NA,NA,NA,60000945
1996,2011,2011,60000948,usa,3,1,0.333,1996,2011,NA,NA,NA,NA,NA,60000948,NA,0,NA,NA,NA,60000948
