afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60008760,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.142857143,0,0.3,0.8,0.666666667,1,1
60008841,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
60008870,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008948,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0
60008991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0.5,0.666666667
60009078,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009196,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
60009282,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009305,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0.428571429,0.6
60009358,NA,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.5,1,0,0.5,0.6,0.181818182,0.142857143
60009410,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.666666667,1,0,0,0
60009424,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009425,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0.4
60009455,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.142857143,0,0
60009466,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
60009474,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
60009477,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009483,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.6,0,0
60009513,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009565,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0,0,0
60009622,NA,0,0,0,0,0,0,0,0,0.5,0,0,0.75,0.428571429,0.333333333,0.25,0,0,0,0,1,0.642857143
60009669,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60009780,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0
60009951,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667
60009952,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.142857143
