"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"105254022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105294067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105298057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105310248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105325100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105327935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105430760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0
"105438275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105533291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105547136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105613809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105740090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105767542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105796761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105820614",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"105854539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105862464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105915024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105952916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105992757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106002687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
