"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"107",1996,NA,NA,"114696458","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114696458",NA,NA,NA,0,"114696458",NA
"108",1996,2016,2016,"114850122","chl",2,0,0,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"114850122",NA,NA,NA,0,"114850122",NA
"109",1996,NA,NA,"115049582","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115049582",NA,NA,NA,0,"115049582",NA
"110",1996,NA,NA,"115074375","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115074375",NA,NA,NA,0,"115074375",NA
"111",1996,NA,NA,"115080430","bra",7,1,0.143,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115080430",NA,NA,NA,0,"115080430",NA
"112",1996,NA,NA,"115080724","bra",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115080724",NA,NA,NA,0,"115080724",NA
"113",1996,NA,NA,"115440318","bra",3,3,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115440318",NA,NA,NA,0,"115440318",NA
"114",1996,2017,2017,"116124714","chl",11,2,0.182,1996,2017,NA,NA,NA,NA,NA,NA,NA,NA,"116124714",NA,NA,NA,0,"116124714",NA
"115",1996,NA,NA,"116325173","bra",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116325173",NA,NA,NA,0,"116325173",NA
"116",1996,NA,NA,"116344618","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116344618",NA,NA,NA,0,"116344618",NA
"117",1996,NA,NA,"116344727","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116344727",NA,NA,NA,0,"116344727",NA
"118",1996,NA,NA,"117693697","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117693697",NA,NA,NA,0,"117693697",NA
"119",1996,NA,NA,"117873234","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117873234",NA,NA,NA,0,"117873234",NA
"120",1996,NA,NA,"117891351","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117891351",NA,NA,NA,0,"117891351",NA
"121",1996,NA,NA,"118162888","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118162888",NA,NA,NA,0,"118162888",NA
"122",1996,NA,NA,"118163044","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118163044",NA,NA,NA,0,"118163044",NA
"123",1996,NA,NA,"118163415","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118163415",NA,NA,NA,0,"118163415",NA
"124",1996,NA,NA,"118334561","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118334561",NA,NA,NA,0,"118334561",NA
"125",1996,NA,NA,"118612143","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118612143",NA,NA,NA,0,"118612143",NA
"126",1996,NA,NA,"118781700","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118781700",NA,NA,NA,0,"118781700",NA
"127",1996,NA,NA,"118892942","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118892942",NA,NA,NA,0,"118892942",NA
"128",1996,NA,NA,"119011755","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119011755",NA,NA,NA,0,"119011755",NA
"129",1996,NA,NA,"119199571","bra",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119199571",NA,NA,NA,0,"119199571",NA
"130",1996,NA,NA,"119701756","chl",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119701756",NA,NA,NA,0,"119701756",NA
"131",1996,NA,NA,"120325931","ury",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120325931",NA,NA,NA,0,"120325931",NA
"132",1996,NA,NA,"120325942","chl",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120325942",NA,NA,NA,0,"120325942",NA
"133",1996,2016,2016,"120325973","chl",6,0,0,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"120325973",NA,NA,NA,0,"120325973",NA
"134",1996,NA,NA,"120326003","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326003",NA,NA,NA,0,"120326003",NA
"135",1996,NA,NA,"120326290","bra",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326290",NA,NA,NA,0,"120326290",NA
"136",1996,NA,NA,"120326959","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326959",NA,NA,NA,0,"120326959",NA
"137",1996,NA,NA,"120361918","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120361918",NA,NA,NA,0,"120361918",NA
"138",1996,NA,NA,"120373044","mex",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120373044",NA,NA,NA,0,"120373044",NA
"139",1996,NA,NA,"120395665","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120395665",NA,NA,NA,0,"120395665",NA
"140",1996,2002,2002,"60000036","bra",62,17,0.274,1996,2002,NA,NA,NA,NA,NA,NA,NA,NA,"60000036",NA,NA,NA,0,"60000036",NA
"141",1996,NA,NA,"60000263","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000263",NA,NA,NA,0,"60000263",NA
"142",1996,2008,2008,"60000509","bra",85,15,0.176,1996,2008,NA,NA,NA,NA,NA,NA,NA,NA,"60000509",NA,NA,NA,0,"60000509",NA
"143",1996,NA,NA,"60000590","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000590",NA,NA,NA,0,"60000590",NA
"144",1996,2006,2006,"60000658","arg",5,2,0.4,1996,2006,NA,NA,NA,NA,NA,NA,NA,NA,"60000658",NA,NA,NA,0,"60000658",NA
"145",1996,NA,NA,"60000958","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000958",NA,NA,NA,0,"60000958",NA
