afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,community
60008107,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Asia-Pacific (core)
60008202,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008203,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008332,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.333333333,0.333333333,0,0.142857143,Asia-Pacific (core)
60008435,NA,0,0,0,0,1,0,0,0.666666667,0.571428571,0.333333333,0.166666667,0,0,0,0.375,0.090909091,0,0.277777778,0.16,0,0.666666667,Asia-Pacific (core)
60008461,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008495,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008510,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008576,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008646,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008691,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008706,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008707,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008762,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008783,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,Asia-Pacific (core)
60008872,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Asia-Pacific (core)
60008923,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60008950,NA,0,0,0,0,0.777777778,0,0,0.4,0.666666667,0,1,0,0,0,1,0.4,0,1,0.5,0,1,Asia-Pacific (core)
