"","toa","thr","diffnet_new$toa"
"101036895","Non-Adopters","Non-Adopters",NA
"101040142","Non-Adopters","Non-Adopters",NA
"101045257","Non-Adopters","Non-Adopters",NA
"101047257","Non-Adopters","Non-Adopters",NA
"101047830","Non-Adopters","Non-Adopters",NA
"101048799","Late Majority","Very Low Thresh.",2014
"101051299","Non-Adopters","Non-Adopters",NA
"101052531","Non-Adopters","Non-Adopters",NA
"101057234","Non-Adopters","Non-Adopters",NA
"101060153","Non-Adopters","Non-Adopters",NA
"101060805","Non-Adopters","Non-Adopters",NA
"101070301","Late Majority","High Thresh.",2012
"101070851","Non-Adopters","Non-Adopters",NA
"101073547","Non-Adopters","Non-Adopters",NA
"101077310","Non-Adopters","Non-Adopters",NA
"101080431","Non-Adopters","Non-Adopters",NA
"101089289","Non-Adopters","Non-Adopters",NA
"101089410","Non-Adopters","Non-Adopters",NA
"101103291","Non-Adopters","Non-Adopters",NA
"101105967","Non-Adopters","Non-Adopters",NA
"101106060","Non-Adopters","Non-Adopters",NA
"101108750","Laggards","High Thresh.",2017
"101109660","Non-Adopters","Non-Adopters",NA
"101120209","Late Majority","High Thresh.",2014
"101131835","Non-Adopters","Non-Adopters",NA
"101134093","Non-Adopters","Non-Adopters",NA
"101152215","Non-Adopters","Non-Adopters",NA
"101158780","Non-Adopters","Non-Adopters",NA
"101168532","Non-Adopters","Non-Adopters",NA
"101168854","Non-Adopters","Non-Adopters",NA
"101171393","Non-Adopters","Non-Adopters",NA
"101180752","Non-Adopters","Non-Adopters",NA
"101188861","Non-Adopters","Non-Adopters",NA
"101189397","Non-Adopters","Non-Adopters",NA
"101192200","Non-Adopters","Non-Adopters",NA
"101194353","Non-Adopters","Non-Adopters",NA
"101206898","Non-Adopters","Non-Adopters",NA
"101208124","Non-Adopters","Non-Adopters",NA
"101210058","Non-Adopters","Non-Adopters",NA
"101210908","Non-Adopters","Non-Adopters",NA
"101211265","Non-Adopters","Non-Adopters",NA
"101211524","Non-Adopters","Non-Adopters",NA
"101215594","Non-Adopters","Non-Adopters",NA
"101216096","Non-Adopters","Non-Adopters",NA
"101220308","Late Majority","High Thresh.",2012
"101220642","Non-Adopters","Non-Adopters",NA
"101220948","Non-Adopters","Non-Adopters",NA
"101223496","Non-Adopters","Non-Adopters",NA
"101224310","Late Majority","High Thresh.",2013
"101232836","Non-Adopters","Non-Adopters",NA
"101233648","Non-Adopters","Non-Adopters",NA
"101243917","Non-Adopters","Non-Adopters",NA
"101245548","Non-Adopters","Non-Adopters",NA
"101245751","Non-Adopters","Non-Adopters",NA
"101250021","Non-Adopters","Non-Adopters",NA
"101250625","Non-Adopters","Non-Adopters",NA
"101263984","Non-Adopters","Non-Adopters",NA
"101271419","Non-Adopters","Non-Adopters",NA
"101271964","Non-Adopters","Non-Adopters",NA
"101274498","Non-Adopters","Non-Adopters",NA
"101278346","Non-Adopters","Non-Adopters",NA
"101280584","Late Majority","High Thresh.",2015
"101281074","Non-Adopters","Non-Adopters",NA
"101281684","Non-Adopters","Non-Adopters",NA
"101282777","Non-Adopters","Non-Adopters",NA
"101288465","Non-Adopters","Non-Adopters",NA
"101292634","Non-Adopters","Non-Adopters",NA
"101297484","Non-Adopters","Non-Adopters",NA
"101303966","Non-Adopters","Non-Adopters",NA
"101304956","Non-Adopters","Non-Adopters",NA
"101318206","Non-Adopters","Non-Adopters",NA
"101320830","Non-Adopters","Non-Adopters",NA
"101323656","Non-Adopters","Non-Adopters",NA
"101323662","Non-Adopters","Non-Adopters",NA
"101325333","Non-Adopters","Non-Adopters",NA
"101330542","Laggards","High Thresh.",2017
"101332518","Non-Adopters","Non-Adopters",NA
"101339175","Non-Adopters","Non-Adopters",NA
"101342428","Non-Adopters","Non-Adopters",NA
"101347519","Laggards","High Thresh.",2016
"101349883","Non-Adopters","Non-Adopters",NA
"101355350","Non-Adopters","Non-Adopters",NA
"101359259","Non-Adopters","Non-Adopters",NA
"101364708","Late Majority","High Thresh.",2013
"101365462","Early Majority","High Thresh.",2009
"101370446","Non-Adopters","Non-Adopters",NA
"101374015","Non-Adopters","Non-Adopters",NA
"101384585","Non-Adopters","Non-Adopters",NA
"101386718","Non-Adopters","Non-Adopters",NA
"101387163","Non-Adopters","Non-Adopters",NA
"101397143","Non-Adopters","Non-Adopters",NA
"101398123","Non-Adopters","Non-Adopters",NA
"101414646","Non-Adopters","Non-Adopters",NA
"101426542","Non-Adopters","Non-Adopters",NA
"101427688","Non-Adopters","Non-Adopters",NA
"101431855","Late Majority","High Thresh.",2013
"101436196","Non-Adopters","Non-Adopters",NA
"101438191","Non-Adopters","Non-Adopters",NA
"101440523","Non-Adopters","Non-Adopters",NA
"101444365","Non-Adopters","Non-Adopters",NA
"101452015","Non-Adopters","Non-Adopters",NA
"101454159","Non-Adopters","Non-Adopters",NA
"101459541","Non-Adopters","Non-Adopters",NA
"101461323","Non-Adopters","Non-Adopters",NA
"101463321","Non-Adopters","Non-Adopters",NA
"101476304","Non-Adopters","Non-Adopters",NA
"101477701","Non-Adopters","Non-Adopters",NA
"101483749","Non-Adopters","Non-Adopters",NA
"101503884","Non-Adopters","Non-Adopters",NA
"101511974","Non-Adopters","Non-Adopters",NA
"101512740","Early Majority","High Thresh.",2009
"101514883","Non-Adopters","Non-Adopters",NA
"101518760","Non-Adopters","Non-Adopters",NA
"101521465","Non-Adopters","Non-Adopters",NA
"101529166","Non-Adopters","Non-Adopters",NA
"101532688","Non-Adopters","Non-Adopters",NA
"101538764","Non-Adopters","Non-Adopters",NA
"101538765","Non-Adopters","Non-Adopters",NA
"101539139","Non-Adopters","Non-Adopters",NA
"101544860","Non-Adopters","Non-Adopters",NA
"101545289","Non-Adopters","Non-Adopters",NA
"101548512","Non-Adopters","Non-Adopters",NA
"101554021","Non-Adopters","Non-Adopters",NA
"101555545","Non-Adopters","Non-Adopters",NA
"101561582","Non-Adopters","Non-Adopters",NA
"101565966","Non-Adopters","Non-Adopters",NA
"101567793","Non-Adopters","Non-Adopters",NA
"101571669","Non-Adopters","Non-Adopters",NA
"101572462","Non-Adopters","Non-Adopters",NA
"101582984","Non-Adopters","Non-Adopters",NA
"101586902","Early Majority","High Thresh.",2005
"101592403","Non-Adopters","Non-Adopters",NA
"101593424","Non-Adopters","Non-Adopters",NA
"101599642","Non-Adopters","Non-Adopters",NA
"101602434","Non-Adopters","Non-Adopters",NA
"101604542","Non-Adopters","Non-Adopters",NA
"101605182","Non-Adopters","Non-Adopters",NA
"101608135","Non-Adopters","Non-Adopters",NA
"101609394","Non-Adopters","Non-Adopters",NA
"101622059","Non-Adopters","Non-Adopters",NA
"101622388","Non-Adopters","Non-Adopters",NA
"101622548","Non-Adopters","Non-Adopters",NA
"101627865","Non-Adopters","Non-Adopters",NA
"101629992","Non-Adopters","Non-Adopters",NA
"101631831","Laggards","High Thresh.",2016
"101634830","Non-Adopters","Non-Adopters",NA
"101639633","Non-Adopters","Non-Adopters",NA
"101640484","Non-Adopters","Non-Adopters",NA
"101647301","Non-Adopters","Non-Adopters",NA
"101649508","Laggards","High Thresh.",2017
"101656154","Non-Adopters","Non-Adopters",NA
"101664765","Non-Adopters","Non-Adopters",NA
"101665545","Non-Adopters","Non-Adopters",NA
"101666033","Non-Adopters","Non-Adopters",NA
"101670186","Non-Adopters","Non-Adopters",NA
"101674060","Non-Adopters","Non-Adopters",NA
"101674950","Non-Adopters","Non-Adopters",NA
"101678058","Non-Adopters","Non-Adopters",NA
"101680471","Non-Adopters","Non-Adopters",NA
"101694385","Non-Adopters","Non-Adopters",NA
"101696865","Non-Adopters","Non-Adopters",NA
"101713793","Non-Adopters","Non-Adopters",NA
"101717856","Non-Adopters","Non-Adopters",NA
"101722950","Non-Adopters","Non-Adopters",NA
"101723240","Non-Adopters","Non-Adopters",NA
"101730004","Non-Adopters","Non-Adopters",NA
"101730125","Non-Adopters","Non-Adopters",NA
"101730224","Non-Adopters","Non-Adopters",NA
"101732894","Non-Adopters","Non-Adopters",NA
"101743485","Non-Adopters","Non-Adopters",NA
"101744300","Non-Adopters","Non-Adopters",NA
"101746067","Non-Adopters","Non-Adopters",NA
"101748283","Non-Adopters","Non-Adopters",NA
"101749946","Non-Adopters","Non-Adopters",NA
"101749976","Non-Adopters","Non-Adopters",NA
"101751751","Non-Adopters","Non-Adopters",NA
"101767460","Non-Adopters","Non-Adopters",NA
"101770561","Non-Adopters","Non-Adopters",NA
"101772448","Non-Adopters","Non-Adopters",NA
"101775772","Non-Adopters","Non-Adopters",NA
"101776521","Non-Adopters","Non-Adopters",NA
"101778268","Non-Adopters","Non-Adopters",NA
"101781059","Early Adopters","High Thresh.",2004
"101790342","Non-Adopters","Non-Adopters",NA
"101791017","Non-Adopters","Non-Adopters",NA
"101801506","Non-Adopters","Non-Adopters",NA
"101804355","Non-Adopters","Non-Adopters",NA
"101804464","Laggards","High Thresh.",2017
"101807204","Late Majority","Very Low Thresh.",2015
"101809646","Non-Adopters","Non-Adopters",NA
"101811235","Non-Adopters","Non-Adopters",NA
"101811514","Non-Adopters","Non-Adopters",NA
"101811518","Non-Adopters","Non-Adopters",NA
"101815495","Non-Adopters","Non-Adopters",NA
"101821245","Non-Adopters","Non-Adopters",NA
"101826124","Non-Adopters","Non-Adopters",NA
"101829306","Non-Adopters","Non-Adopters",NA
"101830963","Non-Adopters","Non-Adopters",NA
"101843666","Non-Adopters","Non-Adopters",NA
"101845461","Non-Adopters","Non-Adopters",NA
"101850247","Non-Adopters","Non-Adopters",NA
"101853787","Late Majority","Low Thresh.",2015
"101855275","Non-Adopters","Non-Adopters",NA
"101856364","Non-Adopters","Non-Adopters",NA
"101861789","Non-Adopters","Non-Adopters",NA
"101863390","Non-Adopters","Non-Adopters",NA
"101864526","Non-Adopters","Non-Adopters",NA
"101866225","Non-Adopters","Non-Adopters",NA
"101871825","Non-Adopters","Non-Adopters",NA
"101875181","Non-Adopters","Non-Adopters",NA
"101885254","Non-Adopters","Non-Adopters",NA
"101887418","Non-Adopters","Non-Adopters",NA
"101888015","Non-Adopters","Non-Adopters",NA
"101888429","Non-Adopters","Non-Adopters",NA
"101889034","Non-Adopters","Non-Adopters",NA
"101893338","Non-Adopters","Non-Adopters",NA
"101893685","Non-Adopters","Non-Adopters",NA
"101895688","Non-Adopters","Non-Adopters",NA
"101897379","Non-Adopters","Non-Adopters",NA
"101898262","Non-Adopters","Non-Adopters",NA
"101901213","Non-Adopters","Non-Adopters",NA
"101902755","Laggards","Very Low Thresh.",2016
"101909195","Non-Adopters","Non-Adopters",NA
"101916024","Non-Adopters","Non-Adopters",NA
"101917119","Non-Adopters","Non-Adopters",NA
"101919752","Non-Adopters","Non-Adopters",NA
"101923250","Early Majority","High Thresh.",2009
"101928057","Non-Adopters","Non-Adopters",NA
"101933640","Non-Adopters","Non-Adopters",NA
"101933647","Non-Adopters","Non-Adopters",NA
"101935225","Late Majority","High Thresh.",2013
"101935484","Non-Adopters","Non-Adopters",NA
"101941271","Non-Adopters","Non-Adopters",NA
"101944950","Non-Adopters","Non-Adopters",NA
"101945569","Non-Adopters","Non-Adopters",NA
"101947297","Late Majority","High Thresh.",2011
"101949303","Non-Adopters","Non-Adopters",NA
"101958036","Non-Adopters","Non-Adopters",NA
"101963558","Non-Adopters","Non-Adopters",NA
"101963588","Late Majority","High Thresh.",2012
"101967642","Late Majority","Very Low Thresh.",2014
"101969891","Non-Adopters","Non-Adopters",NA
"101971800","Non-Adopters","Non-Adopters",NA
"101975590","Non-Adopters","Non-Adopters",NA
"101983623","Non-Adopters","Non-Adopters",NA
"101986610","Non-Adopters","Non-Adopters",NA
"101987324","Non-Adopters","Non-Adopters",NA
"101988763","Non-Adopters","Non-Adopters",NA
"101993243","Non-Adopters","Non-Adopters",NA
"101995947","Non-Adopters","Non-Adopters",NA
"101998691","Early Majority","High Thresh.",2008
"101999405","Non-Adopters","Non-Adopters",NA
"102000664","Non-Adopters","Non-Adopters",NA
"102002601","Non-Adopters","Non-Adopters",NA
"102003791","Non-Adopters","Non-Adopters",NA
"102017737","Non-Adopters","Non-Adopters",NA
"102023992","Non-Adopters","Non-Adopters",NA
"102025427","Non-Adopters","Non-Adopters",NA
"102026575","Non-Adopters","Non-Adopters",NA
"102031825","Non-Adopters","Non-Adopters",NA
"102032040","Non-Adopters","Non-Adopters",NA
"102033529","Early Majority","High Thresh.",2008
"102036547","Non-Adopters","Non-Adopters",NA
"102040906","Non-Adopters","Non-Adopters",NA
"102051681","Early Majority","Very Low Thresh.",2010
"102059814","Non-Adopters","Non-Adopters",NA
"102061755","Non-Adopters","Non-Adopters",NA
"102063495","Non-Adopters","Non-Adopters",NA
"102066431","Late Majority","High Thresh.",2014
"102070690","Late Majority","High Thresh.",2011
"102071743","Non-Adopters","Non-Adopters",NA
"102075136","Non-Adopters","Non-Adopters",NA
"102075960","Non-Adopters","Non-Adopters",NA
"102076371","Non-Adopters","Non-Adopters",NA
"104870158","Non-Adopters","Non-Adopters",NA
"104870343","Non-Adopters","Non-Adopters",NA
"104871074","Non-Adopters","Non-Adopters",NA
"104890631","Non-Adopters","Non-Adopters",NA
"104910313","Non-Adopters","Non-Adopters",NA
"104911688","Non-Adopters","Non-Adopters",NA
"104940444","Non-Adopters","Non-Adopters",NA
"104941225","Non-Adopters","Non-Adopters",NA
"104941330","Non-Adopters","Non-Adopters",NA
"104941791","Non-Adopters","Non-Adopters",NA
"105040875","Late Majority","High Thresh.",2011
"105131898","Non-Adopters","Non-Adopters",NA
"105140297","Non-Adopters","Non-Adopters",NA
"105152739","Non-Adopters","Non-Adopters",NA
"105153192","Non-Adopters","Non-Adopters",NA
"105157744","Non-Adopters","Non-Adopters",NA
"105158616","Non-Adopters","Non-Adopters",NA
"105162226","Non-Adopters","Non-Adopters",NA
"105163210","Non-Adopters","Non-Adopters",NA
"105167071","Non-Adopters","Non-Adopters",NA
"105172416","Laggards","High Thresh.",2016
"105172879","Non-Adopters","Non-Adopters",NA
"105216355","Non-Adopters","Non-Adopters",NA
"105221184","Non-Adopters","Non-Adopters",NA
"105231503","Late Majority","High Thresh.",2015
"105232151","Non-Adopters","Non-Adopters",NA
"105233032","Non-Adopters","Non-Adopters",NA
"105233241","Non-Adopters","Non-Adopters",NA
"105249334","Early Majority","High Thresh.",2008
"105254022","Non-Adopters","Non-Adopters",NA
"105265443","Non-Adopters","Non-Adopters",NA
"105272135","Non-Adopters","Non-Adopters",NA
"105272238","Non-Adopters","Non-Adopters",NA
"105272488","Non-Adopters","Non-Adopters",NA
"105286149","Late Majority","High Thresh.",2015
"105293400","Late Majority","High Thresh.",2012
"105294067","Non-Adopters","Non-Adopters",NA
"105298057","Non-Adopters","Non-Adopters",NA
"105306219","Non-Adopters","Non-Adopters",NA
"105310151","Non-Adopters","Non-Adopters",NA
"105310248","Non-Adopters","Non-Adopters",NA
"105310413","Non-Adopters","Non-Adopters",NA
"105325100","Non-Adopters","Non-Adopters",NA
"105327935","Non-Adopters","Non-Adopters",NA
"105419958","Non-Adopters","Non-Adopters",NA
"105424692","Non-Adopters","Non-Adopters",NA
"105424804","Non-Adopters","Non-Adopters",NA
"105429889","Late Majority","High Thresh.",2015
"105430760","Late Majority","High Thresh.",2012
"105438275","Non-Adopters","Non-Adopters",NA
"105456315","Non-Adopters","Non-Adopters",NA
"105464347","Non-Adopters","Non-Adopters",NA
"105467916","Non-Adopters","Non-Adopters",NA
"105467947","Late Majority","Low Thresh.",2013
"105533291","Non-Adopters","Non-Adopters",NA
"105547136","Non-Adopters","Non-Adopters",NA
"105547861","Non-Adopters","Non-Adopters",NA
"105548305","Non-Adopters","Non-Adopters",NA
"105557386","Laggards","High Thresh.",2017
"105578639","Non-Adopters","Non-Adopters",NA
"105582475","Early Majority","High Thresh.",2010
"105587672","Non-Adopters","Non-Adopters",NA
"105592192","Non-Adopters","Non-Adopters",NA
"105595680","Early Majority","High Thresh.",2009
"105598911","Non-Adopters","Non-Adopters",NA
"105613809","Non-Adopters","Non-Adopters",NA
"105638587","Non-Adopters","Non-Adopters",NA
"105639308","Non-Adopters","Non-Adopters",NA
"105639763","Non-Adopters","Non-Adopters",NA
"105669104","Non-Adopters","Non-Adopters",NA
"105672732","Non-Adopters","Non-Adopters",NA
"105676784","Non-Adopters","Non-Adopters",NA
"105709392","Non-Adopters","Non-Adopters",NA
"105716395","Non-Adopters","Non-Adopters",NA
"105727088","Early Majority","High Thresh.",2009
"105740090","Non-Adopters","Non-Adopters",NA
"105749568","Late Majority","High Thresh.",2014
"105751694","Non-Adopters","Non-Adopters",NA
"105751980","Non-Adopters","Non-Adopters",NA
"105767542","Non-Adopters","Non-Adopters",NA
"105767902","Late Majority","High Thresh.",2013
"105789586","Non-Adopters","Non-Adopters",NA
"105796761","Non-Adopters","Non-Adopters",NA
"105801776","Non-Adopters","Non-Adopters",NA
"105804138","Non-Adopters","Non-Adopters",NA
"105804631","Non-Adopters","Non-Adopters",NA
"105808834","Non-Adopters","Non-Adopters",NA
"105809832","Non-Adopters","Non-Adopters",NA
"105814925","Non-Adopters","Non-Adopters",NA
"105815948","Non-Adopters","Non-Adopters",NA
"105820614","Late Majority","High Thresh.",2013
"105821751","Laggards","High Thresh.",2017
"105843789","Non-Adopters","Non-Adopters",NA
"105852033","Non-Adopters","Non-Adopters",NA
"105854539","Non-Adopters","Non-Adopters",NA
"105858180","Non-Adopters","Non-Adopters",NA
"105858258","Non-Adopters","Non-Adopters",NA
"105859215","Non-Adopters","Non-Adopters",NA
"105862464","Non-Adopters","Non-Adopters",NA
"105870034","Non-Adopters","Non-Adopters",NA
"105888081","Non-Adopters","Non-Adopters",NA
"105891680","Late Majority","Very Low Thresh.",2015
"105898890","Non-Adopters","Non-Adopters",NA
"105907156","Late Majority","High Thresh.",2013
